"H","L0601","032","645220","Maria","e689cee6-d906-428d-b4a4-4376775977c7","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","7172848",,,,,,"9","4 LB","LB","SYSCO CLASSIC","110035884","Salt Granulated Iodized","Canned & Dry",22.99,,"N",,false,,0,36,,"STOCKED",,"N",,
"P","4518403",,,,,,"1","35 LB","LB","SYSCO RELIANCE","5020553","Shortening Fry Liquid Clear Zero Trans Fat","Canned & Dry",27.69,,"N",,false,,0,35,,"STOCKED",,"N",,
"P","2386159",,,,,,"12","12 CT","CT","CASA SOLANA CLASSIC","10494","Tortilla Flour Pressed 10""","Canned & Dry",56.95,,"N",,false,,0,22.5,,"STOCKED",,"N",,
"P","8108847",,,,,,"24",".5 L","L","PURE LIFE  (WATER)","12273758","Water Purified .5 Liter","Canned & Dry",6.5,,"N",,false,,0,28.35,,"STOCKED",,"N",,
"P","5249727",,,,,,"2","5 LB","LB","VIGO IMPORTING","1317","Bread Crumb Italian","Canned & Dry",24.95,,"N",,false,,0,10.05,,"STOCKED",,"N",,
"P","8378111",,,,,,"1","50 LB","LB","SYSCO CLASSIC","52124000","Flour All Purpose Hotel & Restaurant Bleached Enriched Malted","Canned & Dry",19.95,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","2926727",,,,,,"10","4 LB","LB","SYSCO CLASSIC","412006","Sugar Granulated Extra-fine Cane","Canned & Dry",50.35,5.75,"N",,true,,1,40,,"STOCKED",,"N",,
"P","7143804",,,,,,"60","1.5 OZ","OZ","NEWMAN'S OWN","23117NWN","Dressing Italian Golden Packet","Canned & Dry",22.07,,"N",,false,,0,5.63,,"STOCKED",,"N",,
"P","7055487",,,,,,"24","20 FOZ","FOZ","RONSON","2016RS","Pineapple Tidbit Choice","Canned & Dry",49.85,,"N",,false,,0,34,,"STOCKED",,"N",,
"P","6946947",,,,,,"12","12 CT",,"TACOMEX","190110","Tortilla Flour 10"" Fresh","Canned & Dry",28.85,,"N",,false,,0,29.66,,"STOCKED",,"N",,
"P","4306627",,,,,,"24","12 OZ","OZ","JARRITO","040002","Soda Apple Sidral Mundet","Canned & Dry",25.95,,"N",,false,,0,32.8,,"STOCKED",,"N",,
"P","8298939",,,,,,"24","12.5OZ","OZ","JARRITO","010801","Soda Orange Mandarin","Canned & Dry",25.95,,"N",,false,,0,31.7,,"STOCKED",,"N",,
"P","8299056",,,,,,"24","12.5OZ","OZ","JARRITO","020801","Water Mineral Mineragua","Canned & Dry",25.95,,"N",,false,,0,31.7,,"STOCKED",,"N",,
"P","9729153",,,,,,"12","1 LB","LB","PACKER","","Corn Husk Dry","Canned & Dry",87.39,,"N",,false,,0,12,,"DEMAND",,"N",,
"P","8327443",,,,,,"24","12.5OZ","OZ","JARRITO","010803","Soda Lime","Canned & Dry",25.95,,"N",,false,,0,31.7,,"STOCKED",,"N",,
"P","9806456",,,,,,"6","41.25Z","OZ","SYSCO IMPERIAL/MCCORMICK","900010350","Spice Garlic Salt","Canned & Dry",,15.59,"N",,true,,1,15.47,,"STOCKED",,"N",,
"P","5229109",,,,,,"6","18 OZ","OZ","SYSCO IMPERIAL/MCCORMICK","974305","Spice Onion Granulated","Canned & Dry",,11.95,"N",,true,,1,6.75,,"STOCKED",,"N",,
